"#","g#","Cover","Album","Streams","Daily"
"","204","","Igor Tyler, The Creator","3,423,632,396","2,761,876"
"","205","","Mantra Sebastian Yatra","3,416,329,279","1,034,348"
"","206","","Indigo Chris Brown","3,414,150,535","1,558,802"
"","207","","Culture II Migos","3,412,792,491","843,547"
"","208","","Toxicity System Of A Down","3,389,678,762","2,730,115"
"","209","","1000 Forms Of Fear Sia","3,382,895,194","1,268,167"
"","210","","The Black Parade / Living With Ghosts My Chemical Romance","3,377,882,385","2,176,663"
"","211","","Flower Boy Tyler, The Creator","3,373,581,770","2,367,448"
"","212","","Songs About Jane Maroon 5","3,368,548,490","2,083,179"
"","213","","Nu King Jason Derulo","3,362,055,725","2,556,939"
"","214","","Fórmula, Vol. 2 Romeo Santos","3,359,797,813","2,157,011"
"","215","","Meduza Meduza","3,354,412,376","1,927,692"
"","216","","30 Adele","3,343,075,488","1,920,499"
"","218","","Icarus Falls Zayn","3,329,673,610","916,277"
"","219","","Take Me Home One Direction","3,321,959,333","1,216,774"
"","220","","Jose J Balvin","3,314,649,382","1,034,007"
"","221","","The Album Blackpink","3,304,652,053","1,883,456"
"","222","","Voicenotes Charlie Puth","3,298,568,615","1,129,949"
"","223","","If You're Reading This It's Too Late Drake","3,297,815,168","979,008"
"","224","","Plastic Hearts Miley Cyrus","3,297,124,073","2,135,925"
"","225","","Kid Krow Conan Gray","3,290,846,640","2,487,329"
"","226","","Narrated For You Alec Benjamin","3,285,325,960","1,953,577"
"","227","","My Worlds Justin Bieber","3,283,989,561","3,297,089"
"","228","","I Felix Jaehn","3,275,903,333","772,669"
"","229","","My Turn Lil Baby","3,248,494,145","1,961,118"
"","230","","How I'm Feeling Lauv","3,247,397,905","747,140"
"","231","","Kamikaze Eminem","3,239,874,717","762,452"
"","232","","Ballads 1 Joji","3,228,894,332","1,069,761"
"","233","","What You See Is What You Get / What You See Ain't Always What You Get Luke Combs","3,225,843,671","1,766,039"
"","234","","Smoke + Mirrors Imagine Dragons","3,220,708,251","1,010,162"
"","235","","Love Yourself: Tear BTS","3,210,238,848","1,435,459"
"","236","","Phoenix Rita Ora","3,207,298,229","589,238"
"","237","","Beyoncé Beyoncé","3,200,900,691","1,160,054"
"","238","","Nadie Sabe Lo Que Va A Pasar Mañana Bad Bunny","3,196,234,068","9,664,689"
"","239","","A Place We Knew Dean Lewis","3,193,845,496","1,390,289"
"","240","","The Goat Polo G","3,184,451,840","1,706,879"
"","242","","The Pinkprint Nicki Minaj","3,168,485,779","888,673"
"","243","","Wings / You Never Walk Alone BTS","3,135,674,043","1,084,691"
"","244","","Revival Selena Gomez","3,129,373,310","639,576"
"","245","","Dark Lane Demo Tapes Drake","3,124,927,203","1,860,149"
"","246","","Changes Justin Bieber","3,119,425,838","844,664"
"","247","","Slippery When Wet Bon Jovi","3,109,660,849","2,157,389"
"","249","","Ultraviolence Lana Del Rey","3,094,094,913","3,197,451"
"","250","","Saturday Night Fever Bee Gees & Various Artists","3,088,694,224","2,124,199"
"","251","","I Cry When I Laugh Jess Glynne","3,088,116,944","1,198,328"
"","252","","Youngblood 5 Seconds of Summer","3,084,445,706","1,136,968"
"","253","","Cigarettes After Sex Cigarettes After Sex","3,079,812,228","5,013,470"
